a,b,n_nodes,steps,success
100,100,10000,9291,1
100,100,10000,9803,1
114,114,12996,13363,1
114,114,12996,12503,1
130,130,16900,16952,1
130,130,16900,16527,1
148,148,21904,23639,1
148,148,21904,20104,1
169,169,28561,29809,1
169,169,28561,25390,1
193,193,37249,37432,1
193,193,37249,40778,1
220,220,48400,54078,1
220,220,48400,48796,1
251,251,63001,66239,1
251,251,63001,65534,1
286,286,81796,85200,1
286,286,81796,95584,1
326,326,106276,100000,0
326,326,106276,100000,0
372,372,138384,100000,0
372,372,138384,100000,0
424,424,179776,100000,0
424,424,179776,100000,0
