a,b,n_nodes,steps,success
100,100,10000,8283,1
100,100,10000,9545,1
108,108,11664,10706,1
108,108,11664,10107,1
116,116,13456,11217,1
116,116,13456,13709,1
125,125,15625,14355,1
125,125,15625,13493,1
134,134,17956,16637,1
134,134,17956,17644,1
144,144,20736,19755,1
144,144,20736,17645,1
155,155,24025,20557,1
155,155,24025,22756,1
167,167,27889,26494,1
167,167,27889,27340,1
180,180,32400,29688,1
180,180,32400,34062,1
193,193,37249,34067,1
193,193,37249,35693,1
208,208,43264,42816,1
208,208,43264,40594,1
224,224,50176,57140,1
224,224,50176,53984,1
