a,b,n_nodes,steps,success
4,4,16,12,1
4,4,16,16,1
4,4,16,9,1
4,4,16,11,1
4,4,16,15,1
4,4,16,17,1
4,4,16,13,1
4,4,16,11,1
4,4,16,15,1
4,4,16,12,1
4,4,16,11,1
4,4,16,14,1
4,4,16,15,1
4,4,16,19,1
4,4,16,19,1
4,4,16,9,1
4,4,16,17,1
4,4,16,12,1
4,4,16,12,1
4,4,16,15,1
4,4,16,9,1
4,4,16,13,1
4,4,16,14,1
4,4,16,9,1
4,4,16,17,1
4,4,16,16,1
4,4,16,15,1
4,4,16,13,1
4,4,16,13,1
4,4,16,14,1
4,4,16,15,1
4,4,16,12,1
4,4,16,12,1
4,4,16,11,1
4,4,16,12,1
4,4,16,15,1
4,4,16,15,1
4,4,16,16,1
4,4,16,13,1
4,4,16,15,1
4,4,16,13,1
4,4,16,9,1
4,4,16,11,1
4,4,16,13,1
4,4,16,13,1
4,4,16,13,1
4,4,16,15,1
4,4,16,12,1
4,4,16,15,1
4,4,16,13,1
4,4,16,13,1
4,4,16,10,1
4,4,16,13,1
4,4,16,15,1
4,4,16,11,1
4,4,16,16,1
4,4,16,15,1
4,4,16,11,1
4,4,16,11,1
4,4,16,11,1
4,4,16,13,1
4,4,16,11,1
4,4,16,16,1
4,4,16,12,1
4,4,16,15,1
4,4,16,10,1
4,4,16,14,1
4,4,16,14,1
4,4,16,15,1
4,4,16,11,1
4,4,16,14,1
4,4,16,15,1
4,4,16,9,1
4,4,16,9,1
4,4,16,12,1
4,4,16,9,1
4,4,16,17,1
4,4,16,15,1
4,4,16,15,1
4,4,16,14,1
4,4,16,10,1
4,4,16,10,1
4,4,16,9,1
4,4,16,11,1
4,4,16,15,1
4,4,16,11,1
4,4,16,13,1
4,4,16,13,1
4,4,16,14,1
4,4,16,14,1
4,4,16,13,1
4,4,16,17,1
4,4,16,14,1
4,4,16,13,1
4,4,16,10,1
4,4,16,10,1
4,4,16,9,1
4,4,16,13,1
4,4,16,14,1
4,4,16,16,1
6,6,36,35,1
6,6,36,23,1
6,6,36,28,1
6,6,36,24,1
6,6,36,26,1
6,6,36,29,1
6,6,36,28,1
6,6,36,20,1
6,6,36,19,1
6,6,36,22,1
6,6,36,24,1
6,6,36,21,1
6,6,36,25,1
6,6,36,34,1
6,6,36,21,1
6,6,36,27,1
6,6,36,26,1
6,6,36,21,1
6,6,36,24,1
6,6,36,25,1
6,6,36,30,1
6,6,36,17,1
6,6,36,37,1
6,6,36,23,1
6,6,36,28,1
6,6,36,21,1
6,6,36,24,1
6,6,36,26,1
6,6,36,29,1
6,6,36,32,1
6,6,36,23,1
6,6,36,17,1
6,6,36,36,1
6,6,36,17,1
6,6,36,43,1
6,6,36,29,1
6,6,36,31,1
6,6,36,26,1
6,6,36,17,1
6,6,36,19,1
6,6,36,32,1
6,6,36,26,1
6,6,36,25,1
6,6,36,27,1
6,6,36,36,1
6,6,36,21,1
6,6,36,40,1
6,6,36,23,1
6,6,36,28,1
6,6,36,20,1
6,6,36,27,1
6,6,36,24,1
6,6,36,27,1
6,6,36,26,1
6,6,36,30,1
6,6,36,23,1
6,6,36,20,1
6,6,36,19,1
6,6,36,22,1
6,6,36,28,1
6,6,36,37,1
6,6,36,23,1
6,6,36,29,1
6,6,36,22,1
6,6,36,28,1
6,6,36,34,1
6,6,36,32,1
6,6,36,31,1
6,6,36,29,1
6,6,36,20,1
6,6,36,26,1
6,6,36,22,1
6,6,36,23,1
6,6,36,34,1
6,6,36,35,1
6,6,36,22,1
6,6,36,13,1
6,6,36,32,1
6,6,36,19,1
6,6,36,26,1
6,6,36,30,1
6,6,36,16,1
6,6,36,27,1
6,6,36,20,1
6,6,36,24,1
6,6,36,26,1
6,6,36,15,1
6,6,36,28,1
6,6,36,21,1
6,6,36,17,1
6,6,36,16,1
6,6,36,23,1
6,6,36,30,1
6,6,36,34,1
6,6,36,38,1
6,6,36,24,1
6,6,36,36,1
6,6,36,25,1
6,6,36,32,1
6,6,36,25,1
3,3,9,7,1
3,3,9,6,1
3,3,9,6,1
3,3,9,7,1
3,3,9,7,1
3,3,9,7,1
3,3,9,9,1
3,3,9,6,1
3,3,9,7,1
3,3,9,7,1
3,3,9,8,1
3,3,9,7,1
3,3,9,8,1
3,3,9,9,1
3,3,9,6,1
3,3,9,6,1
3,3,9,7,1
3,3,9,8,1
3,3,9,8,1
3,3,9,6,1
3,3,9,8,1
3,3,9,8,1
3,3,9,10,1
3,3,9,7,1
3,3,9,8,1
3,3,9,6,1
3,3,9,8,1
3,3,9,6,1
3,3,9,9,1
3,3,9,10,1
3,3,9,6,1
3,3,9,10,1
3,3,9,7,1
3,3,9,7,1
3,3,9,6,1
3,3,9,6,1
3,3,9,7,1
3,3,9,8,1
3,3,9,8,1
3,3,9,8,1
3,3,9,6,1
3,3,9,10,1
3,3,9,9,1
3,3,9,7,1
3,3,9,7,1
3,3,9,7,1
3,3,9,7,1
3,3,9,7,1
3,3,9,8,1
3,3,9,8,1
3,3,9,7,1
3,3,9,6,1
3,3,9,6,1
3,3,9,9,1
3,3,9,8,1
3,3,9,7,1
3,3,9,6,1
3,3,9,6,1
3,3,9,8,1
3,3,9,6,1
3,3,9,9,1
3,3,9,6,1
3,3,9,8,1
3,3,9,8,1
3,3,9,7,1
3,3,9,8,1
3,3,9,6,1
3,3,9,9,1
3,3,9,7,1
3,3,9,8,1
3,3,9,10,1
3,3,9,7,1
3,3,9,9,1
3,3,9,7,1
3,3,9,7,1
3,3,9,7,1
3,3,9,9,1
3,3,9,6,1
3,3,9,7,1
3,3,9,8,1
3,3,9,7,1
3,3,9,9,1
3,3,9,7,1
3,3,9,8,1
3,3,9,7,1
3,3,9,9,1
3,3,9,8,1
3,3,9,6,1
3,3,9,8,1
3,3,9,7,1
3,3,9,6,1
3,3,9,9,1
3,3,9,7,1
3,3,9,9,1
3,3,9,8,1
3,3,9,6,1
3,3,9,7,1
3,3,9,10,1
3,3,9,8,1
3,3,9,8,1
7,7,49,29,1
7,7,49,36,1
7,7,49,32,1
7,7,49,37,1
7,7,49,30,1
7,7,49,29,1
7,7,49,28,1
7,7,49,39,1
7,7,49,42,1
7,7,49,25,1
7,7,49,24,1
7,7,49,36,1
7,7,49,49,1
7,7,49,30,1
7,7,49,27,1
7,7,49,28,1
7,7,49,38,1
7,7,49,25,1
7,7,49,31,1
7,7,49,40,1
7,7,49,33,1
